"NCED Cart Position Log for SICK Scan - Text Output File (Comma delineated)"
Text File Version,2.6,

"Flume/Project Name","Delta basin 1"
"RunName","D:\Conoco 2014\final_drained"
"Pass Finished Date/Time"," 09-30-2014"," 19:49:43"
"RunTime Finished"," 0:01:07"
"RunSeconds Finished",66.8029
"ContinuousSec Finished",66.803
"Script Name","C:\NCED\SequenceScripts\Sick Scan [SICK_AIR] 1mm Xgrid 4mx4m .SCP"
"Script Scan Type","SICK Laser (in air)"
"Scan Number",1
"Z Count Direction","Positive Up"
"Home Encoder Offsets",93,163,1578
"Encoder CntPerMM",96,32,393.7
"Channel Settings","X Offset","Y Offset","Z Offset","K2 Coef","K1 Coef","K0 Coef"
"  Ch0 Sonar",0,45,-1149,"N/A for Sonar"
"  Ch1 Massa",-100,45,-700,0,912,109
"  Ch2 NotUsed",-122.5,0,0,0,50,500
"  Ch3 NotUsed",-350,-95,-384,0,1,0
"Flume X Rail Slope(%)",0,,,,"Note: X and Zs are reported relative rails.  If rail slope is not zero, X and Z may need to be post-processed to put in desired coordinate frame."
"Keyence Angle/PivotOffset",0,0,,,Keyence not tiltable
"DAQ Speeds XYZ (mm/sec)",176.25,250,100
"Accel Rates XYZ (mm/sec/sec)",250,250,100

"SICK Scan Parameters:"
"SICK_PRMS_VERSION","1.2"
"CameraFacing",0,"UpStream"
"RiverRightZero",#FALSE#
"LUTname","C:\NCED\Speed and Parameter Files\SICK Settings\LUTs\DeltaBasin (InAir)_scl 001102_yoff-0556.9_zoff 0000.0_LUT.RAW"

"XY positions are of center line of laser sheet."
"Offsets to Sonar Transducer are (XYZ)",-350,-140,-765
"ProfilesPerBuff",32
"TotalBuffers",124
"EncCyclesPerMM","24"
"mmPerProfile",1
"FirstProfileMM",25
"LastProfileMM",3992
"ScnCenterLine",400
"SwathWidthMM",700
"SwathsInScan",6

"SICK Exposure Settings:"
"ExpoTime",2500
"CycleTime_uS",0
"Gain",4
"Threshold",50
"LaserPower","5"

"Column Headers",1,"Number of header rows before data begins"
"Entry #","Scan_uS","CamX","CamY","CamZ","SNR SedZ","CH1 Return","CH2 Return","CH3 Return"
1,29300,25,400,1167.01,0,0,0,0
2,54696,26.03,400,1167.01,0,0,0,0
3,75240,27,400,1167.01,0,0,0,0
4,94771,28.02,400,1167.01,0,0,0,0
5,112325,29,400,1167.01,0,0,0,0
6,128922,30,400,1167.01,0,0,0,0
7,144548,31.04,400,1167.01,0,0,0,0
8,159198,32.04,400,1167.01,0,0,0,0
9,172872,33.03,400,1167.01,0,0,0,0
10,186545,34.05,400,1167.01,0,0,0,0
11,200212,35.14,400,1167.01,0,0,0,0
12,210960,36.02,400,1167.01,0,0,0,0
13,222679,37.01,400,1167.01,0,0,0,0
14,234400,38.04,400,1167.01,0,0,0,0
15,245143,39.01,400,1167.01,0,0,0,0
16,255880,40.02,400,1167.01,0,0,0,0
17,266589,41.04,400,1167.01,0,0,0,0
18,276394,42.01,400,1167.01,0,0,0,0
19,287137,43.09,400,1167.01,0,0,0,0
20,296913,44.1,400,1167.01,0,0,0,0
21,305690,45.02,400,1167.01,0,0,0,0
22,315456,46.07,400,1167.01,0,0,0,0
23,325226,47.15,400,1167.01,0,0,0,0
24,333073,48.03,400,1167.01,0,0,0,0
25,341824,49.04,400,1167.01,0,0,0,0
26,350621,50.07,400,1167.01,0,0,0,0
27,358432,51.01,400,1167.01,0,0,0,0
28,367228,52.08,400,1167.01,0,0,0,0
29,375035,53.04,400,1167.01,0,0,0,0
30,382848,54.01,400,1167.01,0,0,0,0
31,390661,55,400,1167.01,0,0,0,0
32,398478,56.02,400,1167.01,0,0,0,0
33,406288,57.04,400,1167.01,0,0,0,0
34,414097,58.08,400,1167.01,0,0,0,0
35,420939,59,400,1167.01,0,0,0,0
36,428750,60.07,400,1167.01,0,0,0,0
37,435583,61.02,400,1167.01,0,0,0,0
38,443394,62.11,400,1167.01,0,0,0,0
39,450264,63.08,400,1167.01,0,0,0,0
40,457074,64.06,400,1167.01,0,0,0,0
41,464317,65.11,400,1167.01,0,0,0,0
42,470746,66.06,400,1167.01,0,0,0,0
43,477577,67.07,400,1167.01,0,0,0,0
44,484419,68.1,400,1167.01,0,0,0,0
45,491257,69.15,400,1167.01,0,0,0,0
