"NCED Cart Position Log for SICK Scan - Text Output File (Comma delineated)"
Text File Version,2.6,

"Flume/Project Name","Delta basin 1"
"RunName","D:\Conoco 2014\final_drained"
"Pass Finished Date/Time"," 09-30-2014"," 19:54:57"
"RunTime Finished"," 0:06:21"
"RunSeconds Finished",381.4886
"ContinuousSec Finished",381.4886
"Script Name","C:\NCED\SequenceScripts\Sick Scan [SICK_AIR] 1mm Xgrid 4mx4m .SCP"
"Script Scan Type","SICK Laser (in air)"
"Scan Number",1
"Z Count Direction","Positive Up"
"Home Encoder Offsets",93,163,1578
"Encoder CntPerMM",96,32,393.7
"Channel Settings","X Offset","Y Offset","Z Offset","K2 Coef","K1 Coef","K0 Coef"
"  Ch0 Sonar",0,45,-1149,"N/A for Sonar"
"  Ch1 Massa",-100,45,-700,0,912,109
"  Ch2 NotUsed",-122.5,0,0,0,50,500
"  Ch3 NotUsed",-350,-95,-384,0,1,0
"Flume X Rail Slope(%)",0,,,,"Note: X and Zs are reported relative rails.  If rail slope is not zero, X and Z may need to be post-processed to put in desired coordinate frame."
"Keyence Angle/PivotOffset",0,0,,,Keyence not tiltable
"DAQ Speeds XYZ (mm/sec)",176.25,250,100
"Accel Rates XYZ (mm/sec/sec)",250,250,100

"SICK Scan Parameters:"
"SICK_PRMS_VERSION","1.2"
"CameraFacing",0,"UpStream"
"RiverRightZero",#FALSE#
"LUTname","C:\NCED\Speed and Parameter Files\SICK Settings\LUTs\DeltaBasin (InAir)_scl 001102_yoff-0556.9_zoff 0000.0_LUT.RAW"

"XY positions are of center line of laser sheet."
"Offsets to Sonar Transducer are (XYZ)",-350,-140,-765
"ProfilesPerBuff",32
"TotalBuffers",124
"EncCyclesPerMM","24"
"mmPerProfile",1
"FirstProfileMM",25
"LastProfileMM",3992
"ScnCenterLine",3900
"SwathWidthMM",700
"SwathsInScan",6

"SICK Exposure Settings:"
"ExpoTime",2500
"CycleTime_uS",0
"Gain",4
"Threshold",50
"LaserPower","5"

"Column Headers",1,"Number of header rows before data begins"
"Entry #","Scan_uS","CamX","CamY","CamZ","SNR SedZ","CH1 Return","CH2 Return","CH3 Return"
1,28350,25,3899.94,939.99,0,0,0,0
2,53717,26.03,3899.94,939.99,0,0,0,0
3,74221,27,3899.94,939.99,0,0,0,0
4,93760,28.02,3899.94,939.99,0,0,0,0
5,111342,29,3899.94,939.99,0,0,0,0
6,127941,30.01,3899.94,939.99,0,0,0,0
7,143566,31.05,3899.94,939.99,0,0,0,0
8,158212,32.04,3899.94,939.99,0,0,0,0
9,171889,33.04,3899.94,939.99,0,0,0,0
10,185562,34.06,3899.94,939.99,0,0,0,0
11,198254,35.05,3899.94,939.99,0,0,0,0
12,209980,36.02,3899.94,939.99,0,0,0,0
13,221699,37.02,3899.94,939.99,0,0,0,0
14,233428,38.05,3899.94,939.99,0,0,0,0
15,244157,39.02,3899.94,939.99,0,0,0,0
16,254584,40,3899.94,939.99,0,0,0,0
17,265648,41.06,3899.94,939.99,0,0,0,0
18,275413,42.02,3899.94,939.99,0,0,0,0
19,285179,43,3899.94,939.99,0,0,0,0
20,294940,44,3899.94,939.99,0,0,0,0
21,304706,45.03,3899.94,939.99,0,0,0,0
22,314473,46.08,3899.94,939.99,0,0,0,0
23,323268,47.05,3899.94,939.99,0,0,0,0
24,332054,48.04,3899.94,939.99,0,0,0,0
25,340843,49.05,3899.94,939.99,0,0,0,0
26,349638,50.08,3899.94,939.99,0,0,0,0
27,357449,51.03,3899.94,939.99,0,0,0,0
28,366293,52.1,3899.94,939.99,0,0,0,0
29,375024,53.18,3899.94,939.99,0,0,0,0
30,381866,54.03,3899.94,939.99,0,0,0,0
31,389679,55.02,3899.94,939.99,0,0,0,0
32,397494,56.04,3899.94,939.99,0,0,0,0
33,405307,57.06,3899.94,939.99,0,0,0,0
34,413118,58.09,3899.94,939.99,0,0,0,0
35,419955,59.02,3899.94,939.99,0,0,0,0
36,427768,60.09,3899.94,939.99,0,0,0,0
37,434599,61.04,3899.94,939.99,0,0,0,0
38,442412,62.14,3899.94,939.99,0,0,0,0
39,449254,63.1,3899.94,939.99,0,0,0,0
40,456088,64.08,3899.94,939.99,0,0,0,0
41,462925,65.07,3899.94,939.99,0,0,0,0
