"NCED Cart Position Log for SICK Scan - Text Output File (Comma delineated)"
Text File Version,2.6,

"Flume/Project Name","Delta basin 1"
"RunName","D:\Conoco 2014\final_drained"
"Pass Finished Date/Time"," 09-30-2014"," 19:50:36"
"RunTime Finished"," 0:02:00"
"RunSeconds Finished",120.0298
"ContinuousSec Finished",120.0298
"Script Name","C:\NCED\SequenceScripts\Sick Scan [SICK_AIR] 1mm Xgrid 4mx4m .SCP"
"Script Scan Type","SICK Laser (in air)"
"Scan Number",1
"Z Count Direction","Positive Up"
"Home Encoder Offsets",93,163,1578
"Encoder CntPerMM",96,32,393.7
"Channel Settings","X Offset","Y Offset","Z Offset","K2 Coef","K1 Coef","K0 Coef"
"  Ch0 Sonar",0,45,-1149,"N/A for Sonar"
"  Ch1 Massa",-100,45,-700,0,912,109
"  Ch2 NotUsed",-122.5,0,0,0,50,500
"  Ch3 NotUsed",-350,-95,-384,0,1,0
"Flume X Rail Slope(%)",0,,,,"Note: X and Zs are reported relative rails.  If rail slope is not zero, X and Z may need to be post-processed to put in desired coordinate frame."
"Keyence Angle/PivotOffset",0,0,,,Keyence not tiltable
"DAQ Speeds XYZ (mm/sec)",176.25,250,100
"Accel Rates XYZ (mm/sec/sec)",250,250,100

"SICK Scan Parameters:"
"SICK_PRMS_VERSION","1.2"
"CameraFacing",0,"UpStream"
"RiverRightZero",#FALSE#
"LUTname","C:\NCED\Speed and Parameter Files\SICK Settings\LUTs\DeltaBasin (InAir)_scl 001102_yoff-0556.9_zoff 0000.0_LUT.RAW"

"XY positions are of center line of laser sheet."
"Offsets to Sonar Transducer are (XYZ)",-350,-140,-765
"ProfilesPerBuff",32
"TotalBuffers",124
"EncCyclesPerMM","24"
"mmPerProfile",1
"FirstProfileMM",25
"LastProfileMM",3992
"ScnCenterLine",1100
"SwathWidthMM",700
"SwathsInScan",6

"SICK Exposure Settings:"
"ExpoTime",2500
"CycleTime_uS",0
"Gain",4
"Threshold",50
"LaserPower","5"

"Column Headers",1,"Number of header rows before data begins"
"Entry #","Scan_uS","CamX","CamY","CamZ","SNR SedZ","CH1 Return","CH2 Return","CH3 Return"
1,30750,25.03,1100.03,1189.99,0,0,0,0
2,54690,26.02,1100.03,1189.99,0,0,0,0
3,76177,27.03,1100.03,1189.99,0,0,0,0
4,95715,28.05,1100.03,1189.99,0,0,0,0
5,113295,29.04,1100.03,1189.99,0,0,0,0
6,129898,30.04,1100.03,1189.99,0,0,0,0
7,144542,31.03,1100.03,1189.99,0,0,0,0
8,159229,32.02,1100.03,1189.99,0,0,0,0
9,172864,33,1100.03,1189.99,0,0,0,0
10,186537,34.03,1100.03,1189.99,0,0,0,0
11,199240,35.03,1100.03,1189.99,0,0,0,0
12,211937,36.07,1100.03,1189.99,0,0,0,0
13,223657,37.06,1100.03,1189.99,0,0,0,0
14,234393,38.01,1100.03,1189.99,0,0,0,0
15,246114,39.07,1100.03,1189.99,0,0,0,0
16,256855,40.08,1100.03,1189.99,0,0,0,0
17,266622,41.01,1100.03,1189.99,0,0,0,0
18,277370,42.07,1100.03,1189.99,0,0,0,0
19,287136,43.05,1100.03,1189.99,0,0,0,0
20,296898,44.06,1100.03,1189.99,0,0,0,0
21,306664,45.09,1100.03,1189.99,0,0,0,0
22,315461,46.04,1100.03,1189.99,0,0,0,0
23,324244,47,1100.03,1189.99,0,0,0,0
24,333044,48,1100.03,1189.99,0,0,0,0
25,341832,49.01,1100.03,1189.99,0,0,0,0
26,350612,50.03,1100.03,1189.99,0,0,0,0
27,359408,51.08,1100.03,1189.99,0,0,0,0
28,367221,52.04,1100.03,1189.99,0,0,0,0
29,376008,53.11,1100.03,1189.99,0,0,0,0
30,383823,54.09,1100.03,1189.99,0,0,0,0
31,391637,55.08,1100.03,1189.99,0,0,0,0
32,399451,56.1,1100.03,1189.99,0,0,0,0
33,406286,57,1100.03,1189.99,0,0,0,0
34,414094,58.03,1100.03,1189.99,0,0,0,0
35,421912,59.08,1100.03,1189.99,0,0,0,0
36,428779,60.03,1100.03,1189.99,0,0,0,0
37,436559,61.1,1100.03,1189.99,0,0,0,0
38,443399,62.06,1100.03,1189.99,0,0,0,0
39,450231,63.03,1100.03,1189.99,0,0,0,0
40,457071,64.01,1100.03,1189.99,0,0,0,0
