"NCED Cart Position Log for SICK Scan - Text Output File (Comma delineated)"
Text File Version,2.6,

"Flume/Project Name","Delta basin 1"
"RunName","D:\Conoco 2014\final_drained"
"Pass Finished Date/Time"," 09-30-2014"," 19:52:24"
"RunTime Finished"," 0:03:47"
"RunSeconds Finished",227.4962
"ContinuousSec Finished",227.4962
"Script Name","C:\NCED\SequenceScripts\Sick Scan [SICK_AIR] 1mm Xgrid 4mx4m .SCP"
"Script Scan Type","SICK Laser (in air)"
"Scan Number",1
"Z Count Direction","Positive Up"
"Home Encoder Offsets",93,163,1578
"Encoder CntPerMM",96,32,393.7
"Channel Settings","X Offset","Y Offset","Z Offset","K2 Coef","K1 Coef","K0 Coef"
"  Ch0 Sonar",0,45,-1149,"N/A for Sonar"
"  Ch1 Massa",-100,45,-700,0,912,109
"  Ch2 NotUsed",-122.5,0,0,0,50,500
"  Ch3 NotUsed",-350,-95,-384,0,1,0
"Flume X Rail Slope(%)",0,,,,"Note: X and Zs are reported relative rails.  If rail slope is not zero, X and Z may need to be post-processed to put in desired coordinate frame."
"Keyence Angle/PivotOffset",0,0,,,Keyence not tiltable
"DAQ Speeds XYZ (mm/sec)",176.25,250,100
"Accel Rates XYZ (mm/sec/sec)",250,250,100

"SICK Scan Parameters:"
"SICK_PRMS_VERSION","1.2"
"CameraFacing",0,"UpStream"
"RiverRightZero",#FALSE#
"LUTname","C:\NCED\Speed and Parameter Files\SICK Settings\LUTs\DeltaBasin (InAir)_scl 001102_yoff-0556.9_zoff 0000.0_LUT.RAW"

"XY positions are of center line of laser sheet."
"Offsets to Sonar Transducer are (XYZ)",-350,-140,-765
"ProfilesPerBuff",32
"TotalBuffers",124
"EncCyclesPerMM","24"
"mmPerProfile",1
"FirstProfileMM",25
"LastProfileMM",3992
"ScnCenterLine",2500
"SwathWidthMM",700
"SwathsInScan",6

"SICK Exposure Settings:"
"ExpoTime",2500
"CycleTime_uS",0
"Gain",4
"Threshold",50
"LaserPower","5"

"Column Headers",1,"Number of header rows before data begins"
"Entry #","Scan_uS","CamX","CamY","CamZ","SNR SedZ","CH1 Return","CH2 Return","CH3 Return"
1,29300,25,2499.97,1084,0,0,0,0
2,54697,26.03,2499.97,1084,0,0,0,0
3,76177,27.03,2499.97,1084,0,0,0,0
4,95709,28.04,2499.97,1084,0,0,0,0
5,113351,29.02,2499.97,1084,0,0,0,0
6,129892,30.01,2499.97,1084,0,0,0,0
7,145519,31.05,2499.97,1084,0,0,0,0
8,160168,32.04,2499.97,1084,0,0,0,0
9,173841,33.03,2499.97,1084,0,0,0,0
10,187514,34.05,2499.97,1084,0,0,0,0
11,200210,35.04,2499.97,1084,0,0,0,0
12,211929,36,2499.97,1084,0,0,0,0
13,224631,37.07,2499.97,1084,0,0,0,0
14,235369,38.02,2499.97,1084,0,0,0,0
15,247094,39.08,2499.97,1084,0,0,0,0
16,257832,40.08,2499.97,1084,0,0,0,0
17,267600,41.01,2499.97,1084,0,0,0,0
18,278349,42.07,2499.97,1084,0,0,0,0
19,288109,43.05,2499.97,1084,0,0,0,0
20,297874,44.05,2499.97,1084,0,0,0,0
21,307673,45.08,2499.97,1084,0,0,0,0
22,316436,46.02,2499.97,1084,0,0,0,0
23,326198,47.09,2499.97,1084,0,0,0,0
24,334992,48.08,2499.97,1084,0,0,0,0
25,343779,49.09,2499.97,1084,0,0,0,0
26,351590,50.02,2499.97,1084,0,0,0,0
27,360387,51.06,2499.97,1084,0,0,0,0
28,368198,52.01,2499.97,1084,0,0,0,0
29,376988,53.09,2499.97,1084,0,0,0,0
30,384800,54.06,2499.97,1084,0,0,0,0
31,392614,55.05,2499.97,1084,0,0,0,0
32,400428,56.06,2499.97,1084,0,0,0,0
33,408236,57.09,2499.97,1084,0,0,0,0
34,415076,58,2499.97,1084,0,0,0,0
35,422891,59.05,2499.97,1084,0,0,0,0
36,430704,60.11,2499.97,1084,0,0,0,0
37,437535,61.06,2499.97,1084,0,0,0,0
38,444375,62.02,2499.97,1084,0,0,0,0
39,452183,63.12,2499.97,1084,0,0,0,0
40,459413,64.17,2499.97,1084,0,0,0,0
41,465859,65.1,2499.97,1084,0,0,0,0
42,472702,66.1,2499.97,1084,0,0,0,0
43,479529,67.12,2499.97,1084,0,0,0,0
44,485389,68,2499.97,1084,0,0,0,0
45,492225,69.04,2499.97,1084,0,0,0,0
46,499067,70.09,2499.97,1084,0,0,0,0
47,504927,71,2499.97,1084,0,0,0,0
48,511760,72.07,2499.97,1084,0,0,0,0
49,517619,73,2499.97,1084,0,0,0,0
50,524461,74.09,2499.97,1084,0,0,0,0
51,530352,75.05,2499.97,1084,0,0,0,0
52,536176,76,2499.97,1084,0,0,0,0
53,543017,77.12,2499.97,1084,0,0,0,0
54,548881,78.1,2499.97,1084,0,0,0,0
55,554736,79.08,2499.97,1084,0,0,0,0
56,560595,80.07,2499.97,1084,0,0,0,0
57,566455,81.07,2499.97,1084,0,0,0,0
58,572315,82.08,2499.97,1084,0,0,0,0
59,578171,83.1,2499.97,1084,0,0,0,0
60,584030,84.12,2499.97,1084,0,0,0,0
61,588951,85,2499.97,1084,0,0,0,0
62,594781,86.03,2499.97,1084,0,0,0,0
63,600709,87.07,2499.97,1084,0,0,0,0
64,606499,88.09,2499.97,1084,0,0,0,0
65,612394,89.14,2499.97,1084,0,0,0,0
66,618271,90.17,2499.97,1084,0,0,0,0
67,623102,91.02,2499.97,1084,0,0,0,0
68,628961,92.05,2499.97,1084,0,0,0,0
69,634821,93.09,2499.97,1084,0,0,0,0
70,640713,94.12,2499.97,1084,0,0,0,0
71,646540,95.16,2499.97,1084,0,0,0,0
72,651421,96.02,2499.97,1084,0,0,0,0
73,657284,97.05,2499.97,1084,0,0,0,0
74,663142,98.08,2499.97,1084,0,0,0,0
75,671944,99.64,2499.97,1084,0,0,0,0
76,674865,100.15,2499.97,1084,0,0,0,0
77,679740,101.01,2499.97,1084,0,0,0,0
78,685600,102.04,2499.97,1084,0,0,0,0
79,691460,103.06,2499.97,1084,0,0,0,0
80,697320,104.1,2499.97,1084,0,0,0,0
81,703186,105.12,2499.97,1084,0,0,0,0
82,709048,106.16,2499.97,1084,0,0,0,0
83,713923,107.02,2499.97,1084,0,0,0,0
84,719783,108.05,2499.97,1084,0,0,0,0
85,725644,109.08,2499.97,1084,0,0,0,0
86,731504,110.11,2499.97,1084,0,0,0,0
87,737362,111.15,2499.97,1084,0,0,0,0
88,742245,112.01,2499.97,1084,0,0,0,0
89,748105,113.04,2499.97,1084,0,0,0,0
90,753965,114.07,2499.97,1084,0,0,0,0
91,759825,115.1,2499.97,1084,0,0,0,0
92,765686,116.14,2499.97,1084,0,0,0,0
93,770574,117,2499.97,1084,0,0,0,0
94,776466,118.04,2499.97,1084,0,0,0,0
95,782289,119.07,2499.97,1084,0,0,0,0
96,788180,120.1,2499.97,1084,0,0,0,0
97,794009,121.14,2499.97,1084,0,0,0,0
98,798907,122,2499.97,1084,0,0,0,0
99,804755,123.03,2499.97,1084,0,0,0,0
100,810615,124.06,2499.97,1084,0,0,0,0
101,816475,125.1,2499.97,1084,0,0,0,0
102,822336,126.14,2499.97,1084,0,0,0,0
103,827219,127,2499.97,1084,0,0,0,0
104,842354,129.67,2499.97,1084,0,0,0,0
105,842582,129.7,2499.97,1084,0,0,0,0
106,844375,130.01,2499.97,1084,0,0,0,0
107,850657,131.11,2499.97,1084,0,0,0,0
108,856518,132.15,2499.97,1084,0,0,0,0
109,862774,133.25,2499.97,1084,0,0,0,0
110,867264,134.04,2499.97,1084,0,0,0,0
111,873180,135.08,2499.97,1084,0,0,0,0
112,878985,136.1,2499.97,1084,0,0,0,0
113,884840,137.15,2499.97,1084,0,0,0,0
114,889718,138,2499.97,1084,0,0,0,0
115,895657,139.04,2499.97,1084,0,0,0,0
116,901439,140.06,2499.97,1084,0,0,0,0
117,907303,141.09,2499.97,1084,0,0,0,0
118,913163,142.14,2499.97,1084,0,0,0,0
119,919024,143.17,2499.97,1084,0,0,0,0
120,923900,144.02,2499.97,1084,0,0,0,0
121,929762,145.06,2499.97,1083.99,0,0,0,0
122,935620,146.09,2499.97,1083.99,0,0,0,0
123,941482,147.12,2499.97,1083.98,0,0,0,0
124,947340,148.17,2499.97,1083.98,0,0,0,0
125,952256,149.02,2499.97,1083.97,0,0,0,0
126,958085,150.05,2499.97,1083.96,0,0,0,0
127,963975,151.09,2499.97,1083.93,0,0,0,0
128,969804,152.12,2499.97,1083.92,0,0,0,0
129,975696,153.16,2499.97,1083.89,0,0,0,0
130,980555,154.01,2499.97,1083.87,0,0,0,0
131,986411,155.04,2499.97,1083.84,0,0,0,0
132,992267,156.07,2499.97,1083.82,0,0,0,0
133,998129,157.1,2499.97,1083.76,0,0,0,0
134,1003985,158.14,2499.97,1083.73,0,0,0,0
135,1008874,159,2499.97,1083.71,0,0,0,0
136,1014733,160.03,2499.97,1083.65,0,0,0,0
137,1020593,161.06,2499.97,1083.6,0,0,0,0
138,1026454,162.09,2499.97,1083.55,0,0,0,0
139,1032307,163.12,2499.97,1083.49,0,0,0,0
140,1038169,164.16,2499.97,1083.44,0,0,0,0
141,1043055,165.02,2499.97,1083.39,0,0,0,0
142,1048916,166.05,2499.97,1083.32,0,0,0,0
143,1054776,167.08,2499.97,1083.24,0,0,0,0
144,1060635,168.11,2499.97,1083.18,0,0,0,0
145,1066495,169.15,2499.97,1083.1,0,0,0,0
146,1071373,170.01,2499.97,1083.03,0,0,0,0
147,1077239,171.04,2499.97,1082.95,0,0,0,0
148,1083097,172.08,2499.97,1082.87,0,0,0,0
149,1088958,173.11,2499.97,1082.78,0,0,0,0
150,1094821,174.15,2499.97,1082.69,0,0,0,0
151,1099697,175.01,2499.97,1082.6,0,0,0,0
152,1105556,176.04,2499.97,1082.5,0,0,0,0
153,1111414,177.07,2499.97,1082.4,0,0,0,0
154,1117286,178.1,2499.97,1082.3,0,0,0,0
155,1123173,179.15,2499.97,1082.19,0,0,0,0
156,1128052,180.01,2499.97,1082.09,0,0,0,0
157,1133881,181.03,2499.97,1081.98,0,0,0,0
158,1139771,182.07,2499.97,1081.86,0,0,0,0
159,1145604,183.1,2499.97,1081.74,0,0,0,0
160,1151490,184.14,2499.97,1081.61,0,0,0,0
161,1157325,185.17,2499.97,1081.48,0,0,0,0
162,1162200,186.02,2499.97,1081.37,0,0,0,0
163,1168060,187.05,2499.97,1081.24,0,0,0,0
164,1173923,188.08,2499.97,1081.1,0,0,0,0
165,1179781,189.11,2499.97,1080.96,0,0,0,0
166,1185640,190.15,2499.97,1080.81,0,0,0,0
167,1190528,191.01,2499.97,1080.69,0,0,0,0
168,1196388,192.04,2499.97,1080.54,0,0,0,0
169,1202243,193.07,2499.97,1080.38,0,0,0,0
170,1208103,194.1,2499.97,1080.22,0,0,0,0
171,1213963,195.15,2499.97,1080.06,0,0,0,0
172,1218856,196.01,2499.97,1079.93,0,0,0,0
173,1224715,197.03,2499.97,1079.76,0,0,0,0
174,1230571,198.07,2499.97,1079.58,0,0,0,0
175,1236434,199.1,2499.97,1079.41,0,0,0,0
176,1242285,200.14,2499.97,1079.23,0,0,0,0
177,1247174,201,2499.97,1079.09,0,0,0,0
178,1253033,202.03,2499.97,1078.9,0,0,0,0
179,1258893,203.06,2499.97,1078.71,0,0,0,0
180,1264754,204.09,2499.97,1078.51,0,0,0,0
181,1270612,205.12,2499.97,1078.32,0,0,0,0
182,1276472,206.17,2499.97,1078.12,0,0,0,0
183,1282328,207.2,2499.97,1077.92,0,0,0,0
184,1287216,208.05,2499.97,1077.75,0,0,0,0
185,1293076,209.08,2499.97,1077.54,0,0,0,0
186,1298937,210.12,2499.97,1077.33,0,0,0,0
187,1304795,211.16,2499.97,1077.11,0,0,0,0
188,1309675,212.01,2499.97,1076.93,0,0,0,0
189,1315570,213.05,2499.97,1076.71,0,0,0,0
190,1321394,214.07,2499.97,1076.49,0,0,0,0
191,1327292,215.11,2499.97,1076.26,0,0,0,0
192,1341454,217.61,2499.97,1075.69,0,0,0,0
193,1341697,217.65,2499.97,1075.68,0,0,0,0
194,1344835,218.2,2499.97,1075.56,0,0,0,0
195,1349716,219.06,2499.97,1075.35,0,0,0,0
196,1355578,220.09,2499.97,1075.11,0,0,0,0
197,1361436,221.12,2499.97,1074.86,0,0,0,0
198,1367332,222.17,2499.97,1074.61,0,0,0,0
199,1372178,223.02,2499.97,1074.4,0,0,0,0
200,1378042,224.05,2499.97,1074.14,0,0,0,0
201,1383898,225.08,2499.97,1073.88,0,0,0,0
202,1389758,226.11,2499.97,1073.61,0,0,0,0
203,1395617,227.15,2499.97,1073.34,0,0,0,0
204,1400511,228.01,2499.97,1073.12,0,0,0,0
205,1407342,229.22,2499.97,1072.8,0,0,0,0
206,1412220,230.08,2499.97,1072.57,0,0,0,0
207,1418080,231.11,2499.97,1072.29,0,0,0,0
208,1423941,232.15,2499.97,1072,0,0,0,0
209,1428828,233.01,2499.97,1071.76,0,0,0,0
210,1434689,234.04,2499.97,1071.47,0,0,0,0
211,1440548,235.08,2499.97,1071.18,0,0,0,0
212,1446408,236.11,2499.97,1070.88,0,0,0,0
213,1452263,237.15,2499.97,1070.58,0,0,0,0
214,1457151,238,2499.97,1070.32,0,0,0,0
215,1463011,239.03,2499.97,1070.02,0,0,0,0
216,1468872,240.07,2499.97,1069.7,0,0,0,0
217,1474731,241.1,2499.97,1069.39,0,0,0,0
218,1480595,242.14,2499.97,1069.07,0,0,0,0
219,1486450,243.17,2499.97,1068.75,0,0,0,0
220,1491366,244.03,2499.97,1068.48,0,0,0,0
221,1497195,245.05,2499.97,1068.16,0,0,0,0
222,1503086,246.09,2499.97,1067.82,0,0,0,0
223,1508914,247.11,2499.97,1067.49,0,0,0,0
224,1516262,248.42,2499.97,1067.07,0,0,0,0
225,1519651,249.01,2499.97,1066.87,0,0,0,0
226,1525510,250.04,2499.97,1066.52,0,0,0,0
227,1532348,251.25,2499.97,1066.12,0,0,0,0
228,1537236,252.1,2499.97,1065.83,0,0,0,0
229,1543095,253.14,2499.97,1065.47,0,0,0,0
230,1547977,254.01,2499.97,1065.18,0,0,0,0
231,1553833,255.03,2499.97,1064.82,0,0,0,0
232,1559693,256.07,2499.97,1064.45,0,0,0,0
233,1565553,257.1,2499.97,1064.08,0,0,0,0
234,1571413,258.14,2499.97,1063.71,0,0,0,0
235,1576297,259,2499.97,1063.4,0,0,0,0
236,1582156,260.03,2499.97,1063.02,0,0,0,0
237,1588016,261.06,2499.97,1062.64,0,0,0,0
238,1593876,262.09,2499.97,1062.26,0,0,0,0
239,1599735,263.12,2499.97,1061.87,0,0,0,0
240,1605595,264.17,2499.97,1061.48,0,0,0,0
241,1610484,265.02,2499.97,1061.15,0,0,0,0
242,1616932,266.16,2499.97,1060.72,0,0,0,0
243,1622198,267.08,2499.97,1060.36,0,0,0,0
244,1628059,268.11,2499.97,1059.95,0,0,0,0
245,1633917,269.15,2499.97,1059.54,0,0,0,0
246,1638807,270.01,2499.97,1059.2,0,0,0,0
247,1644666,271.04,2499.97,1058.79,0,0,0,0
248,1650526,272.07,2499.97,1058.38,0,0,0,0
249,1657365,273.27,2499.97,1057.9,0,0,0,0
250,1662242,274.14,2499.97,1057.56,0,0,0,0
251,1667161,275,2499.97,1057.23,0,0,0,0
252,1672990,276.03,2499.97,1056.83,0,0,0,0
253,1678880,277.06,2499.97,1056.43,0,0,0,0
254,1684710,278.09,2499.97,1056.04,0,0,0,0
255,1690601,279.14,2499.97,1055.65,0,0,0,0
256,1696429,280.16,2499.97,1055.27,0,0,0,0
257,1701311,281.02,2499.97,1054.95,0,0,0,0
258,1707171,282.05,2499.97,1054.58,0,0,0,0
259,1713031,283.09,2499.97,1054.2,0,0,0,0
260,1718894,284.12,2499.97,1053.83,0,0,0,0
261,1726642,285.49,2499.97,1053.34,0,0,0,0
262,1729631,286.02,2499.97,1053.16,0,0,0,0
263,1735490,287.05,2499.97,1052.8,0,0,0,0
264,1741353,288.08,2499.97,1052.44,0,0,0,0
265,1747213,289.11,2499.97,1052.08,0,0,0,0
266,1753073,290.15,2499.97,1051.73,0,0,0,0
267,1757954,291.01,2499.97,1051.44,0,0,0,0
268,1763811,292.04,2499.97,1051.1,0,0,0,0
269,1769671,293.07,2499.97,1050.76,0,0,0,0
270,1775530,294.1,2499.97,1050.42,0,0,0,0
271,1782367,295.31,2499.97,1050.03,0,0,0,0
272,1786273,296,2499.97,1049.81,0,0,0,0
273,1792135,297.03,2499.97,1049.48,0,0,0,0
274,1797993,298.06,2499.97,1049.16,0,0,0,0
275,1803853,299.09,2499.97,1048.83,0,0,0,0
276,1809714,300.12,2499.97,1048.52,0,0,0,0
277,1815572,301.16,2499.97,1048.2,0,0,0,0
278,1820461,302.02,2499.97,1047.94,0,0,0,0
279,1826315,303.05,2499.97,1047.63,0,0,0,0
280,1840669,305.58,2499.97,1046.89,0,0,0,0
281,1840883,305.61,2499.97,1046.88,0,0,0,0
282,1843038,306,2499.97,1046.77,0,0,0,0
283,1848786,307.01,2499.97,1046.48,0,0,0,0
284,1854677,308.05,2499.97,1046.19,0,0,0,0
285,1860506,309.08,2499.97,1045.91,0,0,0,0
286,1866392,310.11,2499.97,1045.62,0,0,0,0
287,1872219,311.15,2499.97,1045.34,0,0,0,0
288,1877106,312,2499.97,1045.11,0,0,0,0
289,1882966,313.04,2499.97,1044.83,0,0,0,0
290,1888826,314.07,2499.97,1044.56,0,0,0,0
291,1894687,315.1,2499.97,1044.29,0,0,0,0
292,1900551,316.14,2499.97,1044.03,0,0,0,0
293,1905432,317,2499.97,1043.81,0,0,0,0
294,1911289,318.03,2499.97,1043.55,0,0,0,0
295,1917148,319.06,2499.97,1043.3,0,0,0,0
296,1923010,320.09,2499.97,1043.04,0,0,0,0
297,1928870,321.12,2499.97,1042.8,0,0,0,0
298,1934728,322.16,2499.97,1042.55,0,0,0,0
299,1939607,323.02,2499.97,1042.35,0,0,0,0
300,1945466,324.05,2499.97,1042.11,0,0,0,0
301,1951331,325.08,2499.97,1041.88,0,0,0,0
302,1957190,326.11,2499.97,1041.65,0,0,0,0
