"NCED Data Capture - Text Output File (Comma delineated)"
"None Data [Channel 3]"
"Aux Sensor Latency",0
Text File Version,2.6,

"Flume/Project Name","Riverine Basin"
"RunName","D:\Wood Floodplain 2024\20240808_exp1_cartdata\20240808_exp1_wood\20240808_exp1_wood"
"Pass Finished Date/Time"," 08-08-2024"," 11:26:53"
"RunTime Finished"," 0:00:00"
"RunSeconds Finished",0
"ContinuousSec Finished",9421.486
"Script Name","C:\NCED\SequenceScripts\Riverine Basin\MASSA_Scan0001 (-500, 0, ) to (9940, 0, 900) FollowChannel.scp"
"Script Scan Type","Massa"
"Scan Number",2
"Z Count Direction","Positive Up"
"Home Encoder Offsets",57,486,1578
"Encoder CntPerMM",96,32,393.7
"Channel Settings","X Offset","Y Offset","Z Offset","K2 Coef","K1 Coef","K0 Coef"
"  Ch0 NotUsed",-979.6,-2465,-1149,"N/A for Sonar"
"  Ch1 Massa",-1079.6,-2465,-491.799987792969,0,912,109
"  Ch2 NotUsed",-1102.1,-2510,0,0,50,500
"  Ch3 NotUsed",-1329.6,-2605,-384,0,1,0
"Flume X Rail Slope(%)",0,,,,"Note: X and Zs are reported relative rails.  If rail slope is not zero, X and Z may need to be post-processed to put in desired coordinate frame."
"Keyence Angle/PivotOffset",0,0,,,Keyence not tiltable
"DAQ Speeds XYZ (mm/sec)",200,200,100
"Accel Rates XYZ (mm/sec/sec)",250,250,100

"Column Headers",2,"Number of header rows before data begins"
"Pass","Ping","X","Y","AUX_Z","AUX Value","ClockTime","RunTime H:M:S","RunTime Sec","ContinuousTime Sec"

6,13,1702.004,-747,857.792,857.307
6,14,1702.004,-747,857.792,857.308
6,15,1702.004,-747,857.792,857.308
6,16,1702.004,-747,857.792,857.31
6,17,1702.004,-747,857.792,857.306
6,18,1702.004,-747,857.792,857.306
6,19,1702.004,-747,857.79,857.303
6,20,1702.004,-747,857.792,857.309,"11:27:28","0:00:00",0,9456.776804
7,1,2190.015,-890.031,857.792,857.308,"11:27:34","0:00:00",0,9463.051454
7,2,2190.015,-890.031,857.792,857.308
7,3,2190.015,-890.031,857.792,857.309
7,4,2190.015,-890.031,857.792,857.309
7,5,2190.015,-890.031,857.792,857.309
7,6,2190.015,-890.031,857.79,857.308
7,7,2190.015,-890.031,857.792,857.309
7,8,2190.015,-890.031,857.792,857.31
7,9,2190.015,-890.031,857.792,857.31
7,10,2190.015,-890.031,857.792,857.309
7,11,2190.015,-890.031,857.792,857.308
7,12,2190.015,-890.031,857.792,857.311
7,13,2190.015,-890.031,857.792,857.308
7,14,2190.015,-890.031,857.792,857.307
7,15,2190.015,-890.031,857.792,857.309
7,16,2190.015,-890.031,857.792,857.307
7,17,2190.015,-890.031,857.792,857.309
7,18,2190.015,-890.031,857.792,857.308
7,19,2190.015,-890.031,857.792,857.309
7,20,2190.015,-890.031,857.792,857.311,"11:27:35","0:00:00",0,9464.013411
8,1,2678.015,-745,857.792,857.308,"11:27:41","0:00:00",0,9470.146459
8,2,2678.015,-745,857.79,857.308
8,3,2678.015,-745,857.79,857.306
8,4,2678.015,-745,857.79,857.306
8,5,2678.015,-745,857.792,857.309
8,6,2678.015,-745,857.792,857.308
8,7,2678.015,-745,857.792,857.311
8,8,2678.015,-745,857.79,857.307
8,9,2678.015,-745,857.792,857.312
8,10,2678.015,-745,857.792,857.309
8,11,2678.015,-745,857.792,857.309
